sigla, unidad_curricular, curso_modulo
SST-VW, Saúde e Segurança no Trabalho, APT 1° Mecatrônica - VW
PCLPB1, Programação CLP - Básico , Programação CLP - Turma 2
AE-2AT, Acionamentos Eletroeletrônicos, 2° Téc. Automação EAD- Terça
SST-TJUN, Saúde e Segurança no Trabalho, APB Assistente Administrativo - Turma Junho
TC-4A, Técnicas de Controle, 4° Téc Automação EAD - Sábado
IVF1, Inversores de Frequência, Inversores de Frequência - Mais Qualificação
LP-1MN, Lógica de Programação, 1 ° Mecatrônica Presencial
CIPI-1M, Criatividade e Ideação em Projetos de Inovação, 1 ° Mecatrônica Presencial
FC-AEP1, Formação Cidadã, Auxiliar de Eletricista Industrial / Prefeitura
FP-AEP1, Formação Profissional, Auxiliar de Eletricista Industrial / Prefeitura
DEPIC, Instrumentação e Controle – 20h presenciais - Dependência, 3° Téc. Automação
PFSTE, Programa de Formação Socioemocional para Técnicos(as) de Ensino, Treinamento
RSCE-GMJ, Relações socioprofissionais/cidadania e ética, APB Assistente Administrativo - Guarda Mirim
FEA-1DSQ, Fundamentos da Eletroeletrônica Aplicada, 1° Desenvolvimento de Sistemas Quarta Noite
EASAI-1AQ, Eletrônica Aplicada à Sistemas Automatizados , 1° Automação EAD - Quinta Noite
IVF1, Inversores de Frequência, Inversores de Frequência - Mais Qualificação
REPIA, Instrumentação Analítica – 2 alunos para reposição de 4h, 2° Téc. Automação
DEPSLP, Sistemas Lógicos Programáveis – 32h – 2 alunos para cursar como DP - (preferência aos sábados), 4° Automação
MVFI-2AS, Medição de Variáveis Físicas Industriais, 2° Téc Automação - Segunda Noite
FI-1AUT, Fundamentos da Instrumentação, 1° Téc. Automação
SLP-3MN, Sistemas Lógicos Programáveis, 3° Téc Mecatrônica - Presencial
SEE-2AT, Sistemas Eletrohidráulicos e Eletropneumáticos, 2° Automação - tarde
SEM-2AT, Sistemas Eletrônicos e Microcontrolados, 2° Automação - tarde
MSE-2ES, Montagem de Sistemas Elétricas, 2° Téc Eletromecânica - Segunda Noite
MSE-2ES, Montagem de Sistemas Eletricas, 2° Téc Eletromecânica - Sexta Tarde
WK , Treinamento Wordskills, Elétrica
ICLP-3MT, Introdução a Controladores Lógicos Programáveis, 3° Mecânica EAD - Terça Noite
EASAII-2AS, Eletrônica Aplicada à Sistemas Automatizados, 2° Automação EAD - Segunda Noite
EP-4N, Eletropneumática, 4° Mecânica Presencial
MET-SO1, Metrologia, Soldador - Turma 1
LID-SO1, Leitura e Interpretação de Desenho, Soldador - Turma 1
MET-SO2, Metrologia, Soldador - Turma 2
PF-AMI2, Processos de Fabricação, Aux Mec Ind 2
PF-AMI1, Processos de Fabricação, Aux Mecânica Industrial - T1 - Mais Qualificação
TM-AMI1, Tecnologia dos Materiais , Aux Mecânica Industrial - T1 - Mais Qualificação
MET-AMI1, Metrologia , Aux Mecânica Industrial - T1 - Mais Qualificação
LID-AMI1, Leitura e Interpretação de Desenho Técnico, Aux Mecânica Industrial - T1 - Mais Qualificação
MET1, Metrologia , OPP - Turma 1
LID1, Leitura e Interpretação de Desenho Técnico, OPP - Turma 1
FTMII-1ESE, Fundamentos da Tecnologia Mecânica II, 1° Téc Eletromecânica EAD - Segunda
RLAD-TFEV, Raciocinio Logico e Analise de Dados , APB Assistente Administrtaivo Seg e Ter- Turma Fevereiro
CADP-2N, Modelagem Virtual de Elementos Mecânicos - Prática, 2° Mecatrônica - Presencial
MET-SO2, Metrologia, Soldador - Turma 2
PM-3N, Gerenciamento de Manutenção - UC Manutenção Mecânica Aplicada, 3° Téc Mecânica Presencial
OPM-2E, Organização da Produção Mecânica I , 2° Téc Eletromecânica EAD - Quarta 
FTMII-1ESE, Fundamentos da Tecnologia Mecânica II, 1° Téc Eletromecânica EAD - Segunda
SOLID-2ES, Aula Extra de Solid turma de 1° Eletromecânica Sabádo, 1° Téc Eletromecânica EAD - Sábado
CAD-1N, CAD - Fundamentos da Tecnologia Mecânica II, 1° Téc Mecânica Presencial
PCP2N, Planejamento e Controle da Produção , 2° Técnico em Mecânica - Presencial
SST-GM, Saúde e Segurança do Trabalho, APB Assistente Administrativo - Guarda Mirim
PM-3N, Gerenciamento de Manutenção - UC Manutenção Mecânica Aplicada, 3° Téc Mecânica Presencial
FMMM-2EQ, Fabricação Mecânica Aplicada à Manutenção e à Montagem, 2° Eletromecânica EAD - Quarta
LIDMM1, Leitura e Interpretação de Desenho, Mecânico de Manutenção Industrial
METMM1, Metrologia, Mecânico de Manutenção Industrial
MTM2N, Materiais e Tratamentos de Materiais, 2° Técnico em Mecânica - Presencial
EN2N, Ensaios, 2° Técnico em Mecânica - Presencial
MP-G, Metodologias de Projetos, 4° APT Mecânica Gestamp
MPP-2QSEG, Monitoramento de Processos e Produtos (APP), 2° Téc Qualidade EAD - Segunda
MPI-1QT, MAPEAMENTO DE PROCESSOS INDUSTRIAIS, 1º Técnico em Qualidade - Terça 
TMA2 - Sind, Tecnologia dos Materiais, OPP 02 - SINDMETAL
TME2 - Sind, Tecnologia Mecânica, OPP 02 - SINDMETAL
DTSA-1M, Desenho Técnico Aplicado a sistemas Automatizados, 1° téc Mecatrônica
GPOL-GM, Gestão da Produção/Operação e Logística, APB Assistente Administrativo- Guarda Mirim
TGDQ-GM, Tratamento e Gerenciamento de Dados Quantitativos, APB Assistente Administrativo- Guarda Mirim
RLAD-GM, Raciocínio Lógico e Análise de Dados, APB Assistente Administrativo- Guarda Mirim
DRQ-1Q, Desenvolvimento dos Requisitos da Qualidade, 1° Qualidade EAD - Segunda Noite
APP2Q, Análise dos Processos e Produtos (APP), 1° Qualidade EAD - Segunda
IRQ-1Q, Implementação das Rotinas da Qualidade (APP), 1° Qualidade EAD - Segunda
ADGQ-3QS, Análise de Desempenho da Gestão da Qualidade (APP), 3° Téc Qualidade EAD - Segunda
IMPQ-2QS, Inspeção e Monitoramento dos Processos da Qualidade (APP), 2° Téc Qualidade EAD - Sexta
RI-AMI1, Relações Interpessoais, Aux Mecânica Industrial - T1 - Mais Qualificação
SST-AMI1, Saúde e Segurança no Trabalho, Aux Mecânica Industrial - T1 - Mais Qualificação
ET-AMI1, Ética e cidadania, Aux Mecânica Industrial - T1 - Mais Qualificação
MA-AMI1, Meio ambiente, Aux Mecânica Industrial - T1 - Mais Qualificação
MAT1, Matemática, OPP - Turma 1
GI3, Gestão Industrial, OPP - Turma 3
SST3, Saúde e Segurança do Trabalho, OPP - Turma 3
OCD1, Organização e Controle de Documentos, Assis Administrativo EAD - Turma 1
RADM1, Rotinas Administrativas, Assis Administrativo EAD - Turma 1
SPE1, Sistema de Produção Enxuto, Sistema de Produção Enxuto - Turma
SPILOG1, Sustentabilidade nos Processos Industriais, Operador de Processos de Distribuição Logística
FTICLOG1, Fundamentos da Tecnologia da Informação e Comunicação, Operador de Processos de Distribuição Logística
FI4.0LOG1, Fundamentos da Indústria 4.0, Operador de Processos de Distribuição Logística
MQAP-1L, Métodos Quantitativos Aplicados à Logística, 1° Téc Logística EAD - Terça
IPL-1L, Introdução aos Processos Logísticos, 1° Téc Logística EAD - Terça
GS-1L, Gestão de Suprimentos, 1° Téc Logística EAD - Terça
PA-1L, Processos de Armazenagem, 1° Téc Logística EAD - Terça
FORMS, Boas Práticas - Forms , Treinamento
MQAP, Métodos Quantitativos Aplicados a Logística, Técnico em Logística - 1º Mód
IPL, Introdução aos Processos Logísticos, Técnico em Logística - 1º Mód
MQAL-1LQ, Métodos Quantitativos Aplicados à Logística, 1° Téc Logística EAD - Quinta
RLAD-GM, Raciocínio Lógico e Análise de Dados, APB Assistente Administrativo- Guarda Mirim
TSI-GM, Transformação no Setor Industrial, APB Assistente Administrativo- Guarda Mirim
ADGQ-3QS, Análise de Desempenho da Gestão da Qualidade (APP), 3° Téc Qualidade EAD - Segunda
GP-GM, Gestão de Pessoas, APB Assistente Administrativo- Guarda Mirim
OCD2, Organização e Controle de Documentos, Assis Administrativo EAD - Turma 2
RADM2, Rotinas Administrativas, Assis Administrativo EAD - Turma 2
SSTLOG1, Saúde e Segurança no Trabalho, Operador de Processos de Distribuição Logística
FLLOG1, Fundamentos da Logística, Operador de Processos de Distribuição Logística
ETPLOG1, Expedição e Transporte de Pedidos, Operador de Processos de Distribuição Logística
SMPLOG1, Separação e Movimentação de Pedidos, Operador de Processos de Distribuição Logística
FLLOG2, Fundamentos da Logística, Operador de Processos de Distribuição Logística
ETPLOG2, Expedição e Transporte de Pedidos, Operador de Processos de Distribuição Logística
SMPLOG2, Separação e Movimentação de Pedidos, Operador de Processos de Distribuição Logística
PA-1L, Processos de Armazenagem, 1° Téc Logística EAD - Terça
FA-NPREF, Fundamentos Administração , APB Assistente Administrativo- Prefeitura Nova
MQAL-1LQ, Métodos Quantitativos Aplicados à Logística, 1° Téc Logística EAD - Quinta
IPL-1LQ, Introdução aos Processos Logísticos, 1° Téc Logística EAD - Quinta
GS-1LQ, Gestão de Suprimentos, 1° Téc Logística EAD - Quinta
PA-1LQ, Processos de Armazenagem, 1° Téc Logística EAD - Terça
FI4.0LOG1, Fundamentos da Indústria 4.0, Operador de Processos de Distribuição Logística
FQPLOG1, Fundamentos da Qualidade e Produtividade, Operador de Processos de Distribuição Logística
GP-2LT, Gestão da Produção, 2° Téc Logística EAD - Terça
GTD-1LT, Gestão de Transporte e Distribuição, 2° Téc Logística EAD - Terça
PIPL-2LT, Projeto de Integração de Processos Logísticos, 2° Téc Logística EAD - Terça
IMPQ-2QSEG, Inspeção e Monitoramento dos Processos da Qualidade (APP), 2° Téc Qualidade EAD - Segunda
GP-PREF, Gestão de Pessoas, APB Assistente Administrativo - Prefeitura
GP-TE, Gestão de Pessoas, APB Assistente Administrativo - Seg e Ter
SAEPPR-3QS, AVALIAÇÃO SAEP , 3° MÓDULO DE QUALIDADE
ADMPC 2 REPOSIÇÃO, ADM Mercadológica e Processos Comerciais II, Téc em Administração EAD
COO EQUI 2 - REPOSIÇÃO, Desenvolvimento de projetos II, Téc em Administração EAD
DES PRO 2 REPOSIÇÃO, Desenvolvimento de projetos II , Téc em Administração EAD
FCI-TOUT, Fundamentos da comunicação e informação, APB Assistente Administrativo - Turma Outubro
LP-2D, Lógica de programação, NEM Desenvolvimento de Sistemas 2° D
FTI-2D, Fundamentos de tecnologias da informação, NEM Desenvolvimento de Sistemas 2° D
LC-2D, Lógica computacional, NEM Desenvolvimento de Sistemas 2° D
IC-3D, Internet das Coisas, NEM Desenvolvimento de Sistemas 3° D
PA-3D, Programação de Aplicativos, NEM Desenvolvimento de Sistemas 3° D
DS-3D, Desenvolvimento de Sistemas, NEM Desenvolvimento de Sistemas 3° D
MODS-3D, Modelagem de Sistemas, NEM Desenvolvimento de Sistemas 3° D
PA-2DS, Programação de Aplicativos, 2° Téc Desenvolvimento de Sistemas EAD - Sábado
IC-3F, Internet das Coisas, NEM Desenvolvimento de Sistemas 3° F
PA-3F, Programação de Aplicativos, NEM Desenvolvimento de Sistemas 3° F
DS-3F, Desenvolvimento de Sistemas, NEM Desenvolvimento de Sistemas 3° F
MODS-3F, Modelagem de Sistemas, NEM Desenvolvimento de Sistemas 3° F
BS-2DS, Banco de Dados, 2° Téc Desenvolvimento de Sistemas EAD - Sábado
PA-2DS, Programação de Aplicativos, 2° Téc Desenvolvimento de Sistemas EAD - Sábado
LC-2D, Lógica computacional, NEM Desenvolvimento de Sistemas 2° D
FRC-2D, Fundamentos de redes de computadores, NEM Desenvolvimento de Sistemas 2° D
FBD-2D, Fundamentos de bancos de dados, NEM Desenvolvimento de Sistemas 2° D
DS-3D, Desenvolvimento de Sistemas, NEM Desenvolvimento de Sistemas 3° D
DS-3F, Desenvolvimento de Sistemas, NEM Desenvolvimento de Sistemas 3° F
TS-3F, Teste de Sistemas, NEM Desenvolvimento de Sistemas 3° F
IS-3F, Implantação de Sistemas, NEM Desenvolvimento de Sistemas 3° F
PFSTE, Programa de Formação Socioemocional para Técnicos(as) de Ensino, Treinamento
EASA-1AUT, Eletrônica Aplicada a Sistemas Automatizados, 1° Automação
MSIS-3DSS, Manutenção de Sistemas, 3° Desenvolvimento de Sistemas EAD - Sabado
PCNC-OS, Programação CNC, 3° Ferramenteiro de Dispositivos - OneSubsea
DPSE-4E, Desenvolvimento de Projetos de Sistemas Eletromecânicos, 4° Téc Eletromecânica EAD - Quinta
MF-OS, Manutenção de Ferramentas, APB Ferram. Dispositivos - OneSubsea
GI - SOL2, Gestão Industrial , Soldador - Turma 2
FMMM-2E, Fabricação Mecânica Aplicada à Manutenção e à Montagem, 2° Eletromecânica EAD - Sábado
TMEC1, Tecnologia Mecânica, OPP - Turma 1
SAEPP4E, SAEP - Prova Prática, 4° Téc Eletromecânica EAD - Quinta
FORMS, Boas Práticas - Forms , Treinamento
AJ3, Ajustagem , Ajustador Mecânico 
GI1, Gestão Industrial, OPP - Turma 1
SST1, Saúde e Segurança do Trabalho, OPP - Turma 1
OMOCNC-OS, Operação de Máquinas Operatrizes CNC, 3° Ferramenteiro de Dispositivos - OneSubsea
SAEPPVWM, SAEP - PROVA PRATÍCA, MECATRONICA VW
TMAT3, Tecnologia dos Materiais, OPP - Turma 3
TMEC3, Tecnologia Mecânica, OPP - Turma 3
CNC2N, Centro de Usinagem CNC , 2° Técnico em Mecânica - Presencial
TCNC2N, Torno CNC , 2° Técnico em Mecânica - Presencial
PM-4N, Processos de Manufatura, 4° Técnico em Mecatrônica
MET-AMII1, Metrologia , Aux Mec Ind - PATRONATO
POT-TN, Planejamento e Organização do Trabalho, APB Assistente Administrativo - Seg e Ter
MF-OS, Manutenção de Ferramentas, APB Ferram. Dispositivos - OneSubsea
MASM-2M, Mecânica Aplicada a Sistemas Mecatrônicos, 2° Tec Mecatrônica - noite
PFM-2M, Processos de Fabricação mcânica, 2° Tec Mecatrônica - noite
PFSTE, Programa de Formação Socioemocional para Técnicos(as) de Ensino, Treinamento
REPOPMI, Organização da Produção Mecânica I - 1 aluno p reposição de 4h, 2° Téc em Eletromecânica
REPFMMM, Fabricação Mecânica Aplicada a Manutenção e a Montagem - 1 aluna para repor 4 horas, 2° Téc em Eletromecânica
FCI-TAGO, Fundamentos da comunicação e informação, APB Assistente Administrativo - Turma Agosto
SST-TAGO, Saúde e segurança no trabalho , APB Assistente Administrativo - Turma Agosto
FMMM-2ES, Fabricação Mecânica Aplicada à Manutenção e à Montagem, 2° Eletromecânica Segunda Noite
FRE2N, Fresagem Convencional , 2° Técnico em Mecânica - Presencial
LID1 - Sind, Leitura e Interpretação de Desenho , OPP - SINDMETAL
TMA1 - Sind, Tecnologia dos Materiais, OPP - SINDMETAL
TME1 - Sind, Tecnologia Mecânica, OPP - SINDMETAL
DEPIED, Implementação de equipamentos e dispositivos – 27h presenciais - Dependência, 3° Automação EAD 
MVFI2A, Medição de Variáveis Físicas Industriais, 2° Automação EAD - Quarta
DSC-4A, Desenvolvimento de Sistemas de Controle, 4° Automação - Sábado
DPSE-4E, Desenvolvimento de Projetos de Sistemas Eletromecânicos, 4° Téc Eletromecânica EAD - Quinta
FEI-1ESE, Fundamentos da Eletricidade Industrial, 1° Téc Eletromecânica EAD - Segunda
FEA-1DS, Fundamentos de Eletroeletrônica Aplicada, 1° Desenvolvimento de Sistemas EAD - Segunda
MVFI2AT, Medição de Variáveis Físicas Industriais, 2° Téc. Automação EAD- Terça
EASAII-2A, Eletrônica Aplicada à Sistemas Automatizados II, 2° Téc. Automação EAD- Terça
SAM-3M, Sistemas Automatizados de Manufatura, 3° Téc Mecatrônica - Presencial
SAEPO4E, SAEP - Prova ObjetIva, 4° Téc Eletromecânica EAD - Quinta
SAEPP4E, SAEP - Prova Prática, 4° Téc Eletromecânica EAD - Quinta
FORMS, Boas Práticas - Forms , Treinamento
EASA, Eletrônica Aplicada a sistemas Automatizados , Técnico em Automação
REEASA, Recuperação Final e Reposição de Aula - Eletrônica Aplicada a sistemas automatizados , 1° Téc. Automação
EFC-3AQ, Elementos Finais de Controle, 3° Téc Automação EAD - Quarta
MVFI2AT, Medição de Variáveis Físicas Industriais, 2° Téc. Automação EAD- Terça
TIAI-4N, Tecnologias da Informação aplicadas à Industria 4.0 , 4° Mecatrônica Presencial
SAM-3M, Sistemas Automatizados de Manufatura, 3° Mecatrônica Presencial
CM-3M, Circuitos Microcontrolados, 3° Mecatrônica Presencial
CM-3AQ, Circuitos Microcontrolados, 3° Téc Automação EAD - Quarta
REPMED, Manutenção de equipamentos e dispositivos – 1 aluno fará reposição de 4h e 1 aluno Dependência de 8h, 3° Téc. Automação
DEPADA, Acionamento de Dispositivos Atuadores – 32h presenciais - Dependência, 2° Téc. Automação EAD- Terça
REPFEI, Fundamentos da eletricidade Industrial - 1 aluno p reposição de 4h, 1° Eletromecânica EAD
COM3, Comandos Elétricos, Eletricista Industrial - Turma 3
AJ1, Ajustagem, Ajustagem - Turma 1 - Prefeitura
FTMII-1ESA, Fundamentos da Tecnologia Mecânica II, 1° Téc Eletromecânica EAD - Sábado
AT4, Ajustagem e Torneiro Mecânico, Ajustagem e Torno  - Turma 4
FMDEPP, Fundamentos Mecânicos  - Dependencia Peter Bilt, 1° Eletromecânica
TOR1, Torneiro Mecânico, Torneiro Mecânico - Turma 1 - Prefeitura
RI-AMI2, Relações Interpessoais, Auxiliar de Mecânica Industrial - Turma 2
SST-AMI2, Saúde e Segurança no Trabalho, Auxiliar de Mecânica Industrial - Turma 2
ET-AMI2, Ética e cidadania, Auxiliar de Mecânica Industrial - Turma 2
MA-AMI2, Meio ambiente, Auxiliar de Mecânica Industrial - Turma 2
MSCAE-SID, Montagem de Sistemas de Controle e Ac. Eletromecânicos, Técnico em Eletromecânica 3º Mód
SAEPP4E, SAEP - PROVA PRATICA, ELETROMECANICA
MF-OS, Manutenção de Ferramentas, APB Ferram. Dispositivos - OneSubsea
MET2, Metrologia, OPP - Turma 2
LID2, Leitura e Interpretação de Desenho , OPP - Turma 2
TMAT2, Tecnologia dos Materiais, OPP - Turma 2
DTSA-1AUT, Desenho Técnico Aplicado à Sistemas Automatizados, 1° Automação Presencial
FCI-TMJUN, Fundamentos da comunicação e informação, APB Assistente Administrativo - Turma Junho
RSCE-TJUN, Relações socioprofissionais/cidadania e ética, APB Assistente Administrativo - Turma Junho
SST-TJUN, Saúde e segurança no trabalho , APB Assistente Administrativo - Turma Junho
FTMII-1, Fundamentos da tecnologia mecânica I – Recuperação final, Técnico em Eletromecânica 1º Mód
TOR3, Torneiro Mecânico, Torneiro Mecânico - Turma 3 - Prefeitura
AT5, Ajustagem e Torneiro Mecânico, Ajustagem e Torno  - Turma 5
AT7, Ajustagem e Torneiro Mecânico, Ajustagem e Torno  - Turma 7
TPE-FM, Tecnologia do Processo de Estampagem, 1° Ferramenteira de Manutenção
TM-AMII1, Tecnologia mecânica, Aux Mec Ind - Patronato
LID-AMII1, Leitura e Interpretação de Desenho Indfustrial, Aux Mec Ind - Patronato
PRA-AMII1, Prática , Aux Mec Ind - Patronato
PFSTE, Programa de Formação Socioemocional para Técnicos(as) de Ensino, Treinamento
UC4, Metrologia - 24 h - José - Sala Metrologia, One SubSea
POT-FM, Planejamento e Organização no Trabalho, APB Ferramenteiro de Manutenção 
FMMM-2ES, Fabricação Mecânica Aplicada a Manutenção e a Montagem, 2° Tec. Eletromecânica - sáb
GI6, Gestão Industrial, OPP - Turma 6
SST6, Saúde e Segurança do Trabalho, OPP - Turma 6
MAT6, Matemática, OPP - Turma 6
FMMM-SC, Fabricação mecânica aplicada à manutenção e à montagem, Téc Eletromecânica 2° Ano Itinerário V- Shirley
TOR2N, Tornearia Convencional, 2° Técnico em Mecânica - Presencial
FRE2N, Fresagem Convencional , 2° Técnico em Mecânica - Presencial
ICSCM-AP, Processos de Fabricação Mecânica, Téc Mecânica - 2° Ano - Itinerário V - Afonso Pena
FMMM-SC, Fabricação mecânica aplicada à manutenção e à montagem, Téc Eletromecânica 2° Ano Itinerário V- Shirley
AT1, Ajustagem e Torneiro Mecânico, Ajustagem e Torneiro Mecânico - Turma 1
DTSA-1M, Desenho Técnico Aplicado à Sistemas Automatizados, 1 ° Mecatrônica Presencial
FTMI-1ESE, Fundamentos da Tecnologia Mecânica I, 1° Téc Eletromecânica EAD - Segunda
FTMII1ELE, Fundamentos da Tecnologia Mecânica II, 1° Téc Eletromecânica EAD - Quarta
TCNC1, Programação e Operação de Torno CNC, Torno CNC - Turma 1
MA-1N, Matemática Aplicada, 1° Téc Mecânica Presencial
FA-1N, Física Aplicada, 1° Téc Mecânica Presencial
PRA-AMI1, Prática, Aux Mecanica Industrial - Turma 1
MAT3, Matemática, OPP - Turma 3
MET3, Metrologia, OPP - Turma 3
LID3, Leitura e Interpretação de Desenho , OPP - Turma 3
FCI-TTJUN, Fundamentos da comunicação e informação, APB Assistente Administrativo - Turma Junho
MPP-2QS, Monitoramento dos Processos e Produtos (APP), 2° Téc Qualidade EAD - Sexta
LID3, Leitura e Interpretação de Desenho , OPP - Turma 3
MET5, Metrologia , OPP - Turma 5
LID5, Leitura e Interpretação de Desenho , OPP - Turma 5
TMAT5, Tecnologia dos Materiais, OPP - Turma 5
TMEC5, Tecnologia Mecânica, OPP - Turma 5
SOLID1, SOLIDWORKS, Solidworks
MAT5, Matemática, OPP - Turma 5
MET-SO4, Metrologia, Soldador - Turma 4
LID-SO4, Leitura e Interpretação de Desenho, Soldador - Turma 4
MPP-2QS, Monitoramento dos Processos e Produtos (APP), 2° Téc Qualidade EAD - Sexta
PA-1L, Processos de Armazenagem, 1° Téc Logística EAD - Terça
PFSTE, Programa de Formação Socioemocional para Técnicos(as) de Ensino, Treinamento
PFM-AP, Introdução a Corte/Soldagem e Conformação Mecânica, Téc Mecânica - 2° Ano - Itinerário V - Afonso Pena
FMMM-SC, Fabricação mecânica aplicada à manutenção e à montagem, Téc Eletromecânica 2° Ano Itinerário V- Shirley
TM-AMI2, Tecnologia dos Materiais , Aux Mec Ind 2
MET-AMI2, Metrologia , Aux Mec Ind 2
PM-3N, Gerenciamento de Manutenção - UC Manutenção Mecânica Aplicada, 3° Téc Mecânica Presencial
GI5, Gestão Industrial, OPP - Turma 5
SST5, Saúde e Segurança do Trabalho, OPP - Turma 5
PA-1LQ, Processos de Armazenagem, 1° Téc Logística EAD - Terça
AE--2AS, Acionamentos Eletroeletrônicos, 2° Téc Automação - Segunda Noite
FE-1MN, Fundamentos da Eletroeletrônica, 1° Mecatrônica Presencial
CM-3AT, Circuitos Microcontrolados, 3° Automação EAD - Terça Noite
SLP-3AT, Sistemas Lógicos Programáveis, 3° Automação EAD - Terça Noite
AE-2M, Acionamentos Eletroeletrônicos, 2° Mecatrônica - Presencial
UC2, Leitura e Interpretação de Desenho Técnico Mecânico , 1° Ferramenteira de Manutenção
UC3, Materiais para Construção de Ferramentas, 1° Ferramenteira de Manutenção
GI1 - Sind, Gestão Industrial, OPP - SIND
SST1 - Sind, Saúde e Segurança do Trabalho, OPP - SIND
MEI-MILLS, MANUTENÇÃO DE EQUIPAMENTOS INDUSTRIAIS, Tranformar Mills
SAEPOMEC, SAEP - OBJETIVO, 4° Mecânica Presencial
SAEPPMEC, SAEP - PRÁTICO, 4° Mecânica Presencial
DEPDSC, Desenvolvimento de Sistemas de Controle – 20h - 3 alunos para cursar como DP -(preferência aos sábados) , 4° Automação
MCV-M, UC 08 - Marketing/Comercial e Vendas, APB Ass ADM - Prefeitura
MCV-T2, UC 08 - Marketing/Comercial e Vendas, APB Ass ADM - Prefeitura
RL-ME, Raciocinio Lógico e Análise de Dados, APB Assistente Administrativo - Seg e Ter
RL-TE, Raciocinio Lógico e Análise de Dados, APB Assistente Administrativo - Seg e Ter
TD-ME, Transformação Digital no Setor Industrial, APB Assistente Administrativo - Seg e Ter
TD-TE, Transformação Digital no Setor Industrial, APB Assistente Administrativo - Seg e Ter
POT-ME, Planejamento e Organização do Trabalho, APB Assistente Administrativo - Seg e Ter
FORMS, Boas Práticas - Forms , Treinamento
FCI-PREF, Fundamentos da comunicação e informação, APB Assis Administrativo - Junho Prefeitura
RSCE-TJP, Relações socioprofissionais/cidadania e ética, APB Assis Administrativo - Junho Prefeitura
RA-AA1, Rotinas Administrativas, Auxiliar Administrativo - Turma 1
PAAP-1AQT, Processos Administraticos no Apoio a Projetos, 1° Administração - Quinta Tarde
RSCE-TJP, Relações socioprofissionais/cidadania e ética, APB Assis Administrativo - Junho Prefeitura
SST-TJP, Saúde e Segurança do Trabalho , APB Assis Administrativo - Junho Prefeitura
SPICPPP1, Sustentabilidade nos processos industriais , Controlador e Programador de Produção - Prefeitura
MPI-1AQT, Modelagem de Projetos I, 1° Administração - Quinta Tarde
IGO-1AQT, Introdução a Gestão Organizacional, 1° Administração - Quinta Tarde
POT-GM, Planejamento e Organização do Trabalho, APB Assistente Administrativo- Guarda Mirim
